ticker,v,vw,o,c,h,l,t,n,dollar_volume,daily_range,close_position,date,v_ua,vw_ua,o_ua,c_ua,h_ua,l_ua,t_ua,n_ua,dollar_volume_ua,daily_range_ua,close_position_ua,c1,v1,h1,l1,dol_v1,v_avg5,v_avg10,v_avg20,v_surge_5,v_surge_20,price_change,high_change,pdc,high_low,high_pdc,low_pdc,true_range,atr,high_chg,high_chg_atr,high_pct_chg,ema9,ema20,ema50,dist_h_9ema_atr,dist_h_20ema_atr,highest_high_20,lc_optimized
ARQT,12063173.0,24.614,22.5,24.95,25.75,22.0,1761681600000,115513.0,300976166.34999996,3.75,0.7866666666666665,2025-10-28,12063173.0,24.614,22.5,24.95,25.75,22.0,1761681600000,115513.0,300976166.34999996,3.75,0.7866666666666665,19.64,1826475.0,20.6,19.6,35871969.0,3556510.4,2526010.4,2358308.9,3.3918565231807,5.115179355851136,0.27036659877800395,0.3110997963340121,19.64,3.75,6.109999999999999,2.3599999999999994,6.109999999999999,0.9744499999999997,3.25,3.335214736518037,0.3110997963340121,21.156773772171714,20.326694260143288,18.703176544862586,4.713660247142785,5.565504376680911,25.75,1
BBIO,8486846.0,62.7957,57.0,63.56,65.0,56.74,1761595200000,104870.0,539423931.76,8.259999999999998,0.8256658595641648,2025-10-27,8486846.0,62.7957,57.0,63.56,65.0,56.74,1761595200000,104870.0,539423931.76,8.259999999999998,0.8256658595641648,54.26,1497545.0,55.565,54.23,81256791.7,2756456.2,2263577.6,2119846.85,3.0788974626188508,4.003518461722836,0.1713969775156654,0.19793586435680055,54.26,8.259999999999998,10.740000000000002,2.480000000000004,10.740000000000002,1.7166071428571428,8.0,4.660355768230521,0.19793586435680055,56.32395000227452,55.05969862909307,52.95942222838366,5.054184956544542,5.7906676039819835,65.0,1
BE,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,3587461629.57,21.979899999999986,0.5227457813729822,2025-10-29,26830167.0,135.3972,129.3,133.71,144.2,122.2201,1761768000000,338038.0,3587461629.57,21.979899999999986,0.5227457813729822,113.28,12989327.0,113.52,105.84,1471430962.56,13510417.6,12553061.6,13368618.25,1.985887320018887,2.0069513915546207,0.18034957627118642,0.27295197740112975,113.28,21.979899999999986,30.919999999999987,8.940100000000001,30.919999999999987,10.83525,14.899999999999977,1.3751413211508712,0.27295197740112975,112.80114622345162,102.87101521159038,82.19288225816888,2.897843037913141,3.8143083720642914,144.2,1
CCJ,24708035.0,104.8475,100.53,106.91,110.155,98.0,1761681600000,328990.0,2641536021.85,12.155000000000001,0.7330316742081444,2025-10-28,24708035.0,104.8475,100.53,106.91,110.155,98.0,1761681600000,328990.0,2641536021.85,12.155000000000001,0.7330316742081444,86.62,4116063.0,88.98,84.285,356533377.06,8543437.0,6957685.3,5982058.3,2.892048598239795,4.130356770344415,0.23424151466174092,0.27170399445855464,86.62,12.155000000000001,23.534999999999997,11.379999999999995,23.534999999999997,4.971814285714286,9.625,1.9359130182428372,0.27170399445855464,90.79815696780358,88.29452663855348,84.42653783586007,3.89331578369997,4.396880515883125,110.155,1
CLOV,34311379.0,3.768,3.36,3.82,3.92,3.36,1761336000000,69971.0,131069467.78,0.56,0.8214285714285713,2025-10-24,34311379.0,3.768,3.36,3.82,3.92,3.36,1761336000000,69971.0,131069467.78,0.56,0.8214285714285713,3.2,6649303.0,3.215,3.05,21277769.6,16930031.0,12227447.6,13610785.15,2.0266577775315353,2.5208963790013246,0.19374999999999987,0.22499999999999987,3.2,0.56,0.7199999999999998,0.1599999999999997,0.7199999999999998,0.2018785714285714,0.56,2.7739447333970215,0.22499999999999987,3.134307738879992,2.9840094322256348,2.9168114332121675,3.8919051960797195,4.636403760691049,3.92,1
CSIQ,8538860.0,17.8723,16.56,17.57,18.64,16.52,1761768000000,73446.0,150027770.2,2.120000000000001,0.49528301886792464,2025-10-29,8538860.0,17.8723,16.56,17.57,18.64,16.52,1761768000000,73446.0,150027770.2,2.120000000000001,0.49528301886792464,15.16,1720753.0,15.92,15.11,26086615.48,3249050.4,2825443.7,2790006.05,2.628109431605001,3.060516660886811,0.15897097625329826,0.2295514511873351,15.16,2.120000000000001,3.4800000000000004,1.3599999999999994,3.4800000000000004,1.2179928571428573,2.080000000000002,1.707727584609341,0.2295514511873351,15.527039991576634,14.836659037994048,13.865454117215997,2.5558113827741846,3.1226299396597055,18.64,1
DYN,12671820.0,24.0456,23.4,24.17,24.95,23.0,1761595200000,91645.0,306277889.40000004,1.9499999999999993,0.6000000000000011,2025-10-27,12671820.0,24.0456,23.4,24.17,24.95,23.0,1761595200000,91645.0,306277889.40000004,1.9499999999999993,0.6000000000000011,17.12,1776076.0,17.39,16.58,30406421.12,4104619.6,3212164.6,2757017.8,3.0872093482182854,4.596205363636027,0.4117990654205608,0.4573598130841121,17.12,1.9499999999999993,7.829999999999998,5.879999999999999,7.829999999999998,0.8840714285714288,1.5500000000000007,1.75325199967682,0.4573598130841121,17.845842811684413,16.143627393706243,14.19489484803821,8.035727610601775,9.961155085086252,24.95,1
FLS,10871692.0,67.2187,57.51,68.95,70.32,57.51,1761768000000,128391.0,749603163.4,12.809999999999995,0.8930523028883692,2025-10-29,10871692.0,67.2187,57.51,68.95,70.32,57.51,1761768000000,128391.0,749603163.4,12.809999999999995,0.8930523028883692,52.66,3741534.0,53.84,52.37,197029180.44,3992594.2,2697050.2,2289155.85,2.722964432498549,4.749214432036158,0.30934295480440577,0.335358906190657,52.66,12.809999999999995,17.659999999999997,4.850000000000001,17.659999999999997,1.466707142857143,12.809999999999995,8.73384987751961,0.335358906190657,55.596841028060496,53.910797831392266,53.652634200508025,10.038240451504729,11.187783633917968,70.32,1
HAYW,7883398.0,16.999,17.0,17.17,17.645,16.73,1761768000000,75437.0,135357943.66000003,0.9149999999999991,0.4808743169398926,2025-10-29,7883398.0,16.999,17.0,17.17,17.645,16.73,1761768000000,75437.0,135357943.66000003,0.9149999999999991,0.4808743169398926,15.33,1842951.0,15.505,15.24,28252438.830000002,3031614.8,2198590.5,1800166.6,2.600395670320649,4.3792602306919814,0.12002609262883257,0.15101108936725383,15.33,0.9149999999999991,2.3149999999999995,1.4000000000000004,2.3149999999999995,0.43313571428571457,0.6449999999999996,1.4891406520556059,0.15101108936725383,15.721623583264469,15.508641827998893,15.401397702391687,4.440586064133217,4.932306668648142,17.645,1
LITE,5437782.0,193.7206,193.63,193.8,206.91,190.06,1761595200000,92476.0,1053842151.6,16.849999999999994,0.2219584569732944,2025-10-27,5437782.0,193.7206,193.63,193.8,206.91,190.06,1761595200000,92476.0,1053842151.6,16.849999999999994,0.2219584569732944,179.3,4055508.0,182.08,173.73,727152584.4000001,3344393.8,2891808.0,2762365.15,1.625939505090579,1.9685239657762117,0.08087005019520355,0.1539877300613497,179.3,16.849999999999994,27.609999999999985,10.759999999999991,27.609999999999985,9.657164285714282,13.280000000000001,1.3751448776371065,0.1539877300613497,171.42993800472757,165.6398539730625,152.4190660352959,3.673962764385982,4.273526348514947,206.91,1
