Handle,Title,Style,Material,Face Shapes,Tags
structured-field-1990s-polo-club-sunglasses,“Structured Field” 1990s Polo Club Sunglasses,aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx"
measured-silence-1990s-thom-browne-sunglasses,“Measured Silence” 1990s Thom Browne Sunglasses,square,acetate,"oval, round","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx"
shadow-pilot-1990s-valentino-sunglasses,“Shadow Pilot” 1990s Valentino Sunglasses,aviator,wire,"heart, oval, square, diamond","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx"
golden-interval-1970s-charmant-sunglasses,“Golden Interval” 1970s Charmant Sunglasses,square,wire,"oval, round","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:tinted"
stadium-drift-1980s-polo-sport-sunglasses,“Stadium Drift” 1980s Polo Sport Sunglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
caffe-aura-1990s-valentino-sunglasses,“Caffè Aura” 1990s Valentino Sunglasses,round,wire,"heart, square, diamond","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
gilded-dusk-1990s-ralph-lauren-sunglasses,“Gilded Dusk” 1990s Ralph Lauren Sunglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
roseglass-drift-1990s-brendel-sunglasses,“Roseglass Drift” 1990s Brendel Sunglasses,rectangle,acetate,"heart, oval, round, diamond","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
cinematic-edge-1990s-bellagio-sunglasses,“Cinematic Edge” 1990s Bellagio Sunglasses,rectangle,wire,"heart, oval, round, diamond","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
dual-horizon-1980s-john-sterling-sunglasses,“Dual Horizon” 1980s John Sterling Sunglasses,aviator,acetate,"heart, oval, square, diamond","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
