Product Name,Shopify URL,Search in Admin,Status,Suggested Tags
"“Steel Tide” 1990s Ralph Lauren Sunglasses","https://azyrspecs.com/products/steel-tide-1990s-ralph-lauren-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CSteel%20Tide%E2%80%9D%201990s%20Ralph%20Lauren%20Sunglasses","NEEDS TAGGING","material:wire | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:trendy | face_shape:oval"
"“Midnight Circuit” 1980s Tura Sunglasses","https://azyrspecs.com/products/midnight-circuit-1980s-tura-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CMidnight%20Circuit%E2%80%9D%201980s%20Tura%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | lens:tinted | face_shape:oval"
"Want to add custom colored (non-prescription lenses)?","https://azyrspecs.com/products/want-to-add-custom-colored-non-prescription-lenses","https://azyrspecs.com/admin/search?q=Want%20to%20add%20custom%20colored%20%28non-prescription%20lenses%29%3F","NEEDS TAGGING","lens:rx | lens:tinted | face_shape:oval | face_shape:heart | face_shape:square"
"“Sunlit Whisper” 1980s Silhouette Sunglasses","https://azyrspecs.com/products/sunlit-whisper-1980s-silhouette-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CSunlit%20Whisper%E2%80%9D%201980s%20Silhouette%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:tinted | face_shape:oval"
"“Roseglass Drift” 1990s Brendel Sunglasses","https://azyrspecs.com/products/roseglass-drift-1990s-brendel-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CRoseglass%20Drift%E2%80%9D%201990s%20Brendel%20Sunglasses","NEEDS TAGGING","style:rectangle | style:square | vibe:retro | vibe:modern | vibe:luxury | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Cinematic Edge” 1990s Bellagio Sunglasses","https://azyrspecs.com/products/cinematic-edge-1990s-bellagio-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CCinematic%20Edge%E2%80%9D%201990s%20Bellagio%20Sunglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:modern | vibe:luxury | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Dual Horizon” 1980s John Sterling Sunglasses","https://azyrspecs.com/products/dual-horizon-1980s-john-sterling-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CDual%20Horizon%E2%80%9D%201980s%20John%20Sterling%20Sunglasses","NEEDS TAGGING","style:aviator | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | vibe:athletic | lens:tinted | face_shape:oval | face_shape:heart | face_shape:square"
"“Crystal Block” 2000s Cutler & Gross Eyeglasses","https://azyrspecs.com/products/crystal-block-2000s-cutler-gross-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CCrystal%20Block%E2%80%9D%202000s%20Cutler%20%26%20Gross%20Eyeglasses","NEEDS TAGGING","style:rectangle | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Paisley Curve” 1990s Nouvelle Vague Eyeglasses","https://azyrspecs.com/products/paisley-curve-1990s-nouvelle-vague-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CPaisley%20Curve%E2%80%9D%201990s%20Nouvelle%20Vague%20Eyeglasses","NEEDS TAGGING","material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval"
"“Scaled Scholar” 1990s Giorgio Armani Eyeglasses","https://azyrspecs.com/products/scaled-scholar-1990s-giorgio-armani-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CScaled%20Scholar%E2%80%9D%201990s%20Giorgio%20Armani%20Eyeglasses","NEEDS TAGGING","style:round | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Golden Unibrow” 1990s Dior Eyeglasses","https://azyrspecs.com/products/golden-unibrow-1990s-dior-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Unibrow%E2%80%9D%201990s%20Dior%20Eyeglasses","NEEDS TAGGING","style:round | material:wire | vibe:retro | vibe:modern | vibe:luxury | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Amber Lineage” 1980s Silhouette Eyeglasses","https://azyrspecs.com/products/amber-lineage-1980s-silhouette-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CAmber%20Lineage%E2%80%9D%201980s%20Silhouette%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Arc Muse” 1980s Dior Eyeglasses","https://azyrspecs.com/products/arc-muse-1980s-dior-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CArc%20Muse%E2%80%9D%201980s%20Dior%20Eyeglasses","NEEDS TAGGING","style:cat_eye | style:round | material:wire | vibe:retro | vibe:luxury | vibe:edgy | vibe:classic | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
"“Golden Horizon” 1980s Luigi Colani Eyeglasses","https://azyrspecs.com/products/golden-horizon-1980s-luigi-colani-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CGolden%20Horizon%E2%80%9D%201980s%20Luigi%20Colani%20Eyeglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | lens:rx | lens:tinted | face_shape:oval | face_shape:heart | face_shape:square"
""Actress Mode" 1980s Sophia Loren Glasses","https://azyrspecs.com/products/actress-mode-1980s-sophia-loren-glasses","https://azyrspecs.com/admin/search?q=%22Actress%20Mode%22%201980s%20Sophia%20Loren%20Glasses","NEEDS TAGGING","style:aviator | style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | vibe:classic | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Burnt Honey" 1980s Diplomat Sunglasses","https://azyrspecs.com/products/burnt-honey-1980s-diplomat-sunglasses","https://azyrspecs.com/admin/search?q=%22Burnt%20Honey%22%201980s%20Diplomat%20Sunglasses","NEEDS TAGGING","style:aviator | style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Boxer Briefs" 1990s Calvin Klein Sunglasses","https://azyrspecs.com/products/boxer-briefs-1990s-calvin-klein-sunglasses","https://azyrspecs.com/admin/search?q=%22Boxer%20Briefs%22%201990s%20Calvin%20Klein%20Sunglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
"“Honeyline Geometry” 1980s Silhouette Eyeglasses","https://azyrspecs.com/products/honeyline-geometry-1980s-silhouette-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CHoneyline%20Geometry%E2%80%9D%201980s%20Silhouette%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
