Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Decade (product.metafields.custom.decade),Gender (product.metafields.custom.gender),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Era (product.metafields.shopify.era),Eyewear frame color (product.metafields.shopify.eyewear-frame-color),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Lens coating (product.metafields.shopify.lens-coating),Lens color (product.metafields.shopify.lens-color),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Optical frame design (product.metafields.shopify.optical-frame-design),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
structured-field-1990s-polo-club-sunglasses,“Structured Field” 1990s Polo Club Sunglasses,"<p data-start=""0"" data-end=""379"">A confident nod to 1990s sporting heritage, this Polo Club aviator carries a sharper, more architectural edge. The dark metal frame is defined by its structured double bridge and clean, squared aviator lines, paired with new dark green lenses that lend depth and a composed, shadowed finish.</p>
<p data-start=""381"" data-end=""565""><strong data-start=""381"" data-end=""394"">Designer:</strong> Polo Club<br data-start=""404"" data-end=""407""><strong data-start=""407"" data-end=""423"">Frame Model:</strong> Unknown<br data-start=""431"" data-end=""434""><strong data-start=""434"" data-end=""445"" data-is-only-node="""">Lenses:</strong> New dark green lenses<br data-start=""467"" data-end=""470""><strong data-start=""470"" data-end=""481"">Decade:</strong> 1990s<br data-start=""487"" data-end=""490""><strong data-start=""490"" data-end=""512"">Country of Origin:</strong> Japan<br data-start=""518"" data-end=""521""><strong data-start=""521"" data-end=""535"">Condition:</strong> Excellent vintage condition</p>
<p data-start=""567"" data-end=""737""><strong data-start=""567"" data-end=""587"">Fit Description:</strong> Best suited for medium to larger faces. The aviator shape offers generous coverage with a strong, balanced fit and a distinctly structured profile.</p>
<p data-start=""739"" data-end=""936""><strong data-start=""739"" data-end=""751"">Journey:</strong> Curated for the AZYR collection for its blend of athletic influence and meticulous Japanese craftsmanship, capturing the 1990s moment when sport and sharp tailoring met effortlessly.</p>
<p data-start=""938"" data-end=""1019"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""938"" data-end=""958"">Additional Info:</strong> All purchases include an AZYR Specs case and cleaning cloth.</p>",Polo Club,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,"1990s, 1990s glasses, 1990s sunglasses, 1990s vintage glasses, 90s, architectural, aviator, double bridge, green lenses, luxury sunglasses, metal frame, minimalist, polo club, sport heritage, sunglasses, vintage, vintage sunglasses",false,Title,Default Title,,,,,,,,NL306,0.0,shopify,deny,manual,200.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0615/8814/4312/files/1-IMG_1950.jpg?v=1769563253,1,"",false,,,,,,,,,,,,,,1990s,Unisex,,,adults,dark-green; black,,dark-green,aviator,metal; plastic,glass,,,dark-green,,,full-frame,unisex,,,,,,lb,,45.00,draft
structured-field-1990s-polo-club-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/2-IMG_1951.jpg?v=1769563253,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structured-field-1990s-polo-club-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/3-IMG_1952.jpg?v=1769563253,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structured-field-1990s-polo-club-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/4-IMG_1953.jpg?v=1769563253,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structured-field-1990s-polo-club-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/5-IMG_1954.jpg?v=1769563253,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
structured-field-1990s-polo-club-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/6-IMG_1955.jpg?v=1769563253,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measured-silence-1990s-thom-browne-sunglasses,“Measured Silence” 1990s Thom Browne Sunglasses,"<p data-start=""0"" data-end=""347"">A disciplined take on 1990s understatement, this Thom Browne square frame blends sharp lines with rich tortoiseshell plastic. The structured brow and clean, geometric lenses create a studied balance, while the new gray lenses introduce a cool, contemporary contrast.</p>
<p data-start=""349"" data-end=""531""><strong data-start=""349"" data-end=""362"">Designer:</strong> Thom Browne<br data-start=""374"" data-end=""377""><strong data-start=""377"" data-end=""393"">Frame Model:</strong> Unknown<br data-start=""401"" data-end=""404""><strong data-start=""404"" data-end=""415"" data-is-only-node="""">Lenses:</strong> New Gray lenses<br data-start=""431"" data-end=""434""><strong data-start=""434"" data-end=""445"">Decade:</strong> 1990s<br data-start=""451"" data-end=""454""><strong data-start=""454"" data-end=""476"">Country of Origin:</strong> Unknown<br data-start=""484"" data-end=""487""><strong data-start=""487"" data-end=""501"">Condition:</strong> Excellent vintage condition</p>
<p data-start=""533"" data-end=""698""><strong data-start=""533"" data-end=""553"">Fit Description:</strong> Best suited for medium faces. The square silhouette offers a strong, balanced fit with defined angles and a confident, architectural presence.</p>
<p data-start=""700"" data-end=""868""><strong data-start=""700"" data-end=""712"">Journey:</strong> Curated for AZYR for its thoughtful proportions and modernist restraint, reflecting Thom Browne’s affinity for classic forms reimagined with subtle edge.</p>
<p data-start=""870"" data-end=""951"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""870"" data-end=""890"">Additional Info:</strong> All purchases include an AZYR Specs case and cleaning cloth.</p>",Thom Browne,Apparel & Accessories > Clothing Accessories > Sunglasses,Sunglasses,"1990s, 1990s glasses, 1990s sunglasses, 1990s vintage glasses, 90s, 90s glasses, browline, eyewear, gray lenses, square, structured, sunglasses, thom browne, tortoise shell, vintage, Vintage Eyewear, vintage glasses, vintage sunglasses",false,Title,Default Title,,,,,,,,NL91,0.0,shopify,deny,manual,400.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0615/8814/4312/files/1-IMG_1962.jpg?v=1769561738,1,"",false,,,,,,,,,,,,,,1990s,Unisex,,,adults,grey; animal; brown,,brown; animal,square,plastic; acetate,glass,,,grey,,,full-frame,unisex,,,,,,lb,,100.00,draft
measured-silence-1990s-thom-browne-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/2-IMG_1963.jpg?v=1769561739,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measured-silence-1990s-thom-browne-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/3-IMG_1964.jpg?v=1769561739,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
measured-silence-1990s-thom-browne-sunglasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0615/8814/4312/files/4-IMG_1965.jpg?v=1769561738,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
